ARRIVAL_TIME,DEPARTURE_TIME,SHAPE_DIST_TRAVELED,STOP_ID,STOP_SEQUENCE,TRIP_ID,STOP.GEOMETRY.COORDINATES,STOP.PROPERTIES.STOP_ID,STOP.PROPERTIES.STOP_NAME
8:41:00,8:41:00,7.33832,U656Z2,13,333_715_200302,"[14.45149, 50.02318]",U656Z2,Sídliště Krč
8:42:00,8:42:00,7.80231,U893Z4,14,333_715_200302,"[14.45143, 50.02735]",U893Z4,Zálesí
8:44:00,8:44:00,8.35517,U488Z7,15,333_715_200302,"[14.45515, 50.03038]",U488Z7,Nemocnice Krč
8:48:00,8:48:00,9.71831,U228Z5,16,333_715_200302,"[14.46033, 50.04203]",U228Z5,Kačerov
8:48:00,8:48:00,0.0,U1503Z2,1,333_751_200302,"[14.45708, 49.96319]",U1503Z2,"Dolní Břežany,Obecní úřad"
8:49:00,8:49:00,0.15836,U1502Z2,2,333_751_200302,"[14.45889, 49.96373]",U1502Z2,"Dolní Břežany,Náměstí"
8:51:00,8:51:00,0.77992,U1501Z2,3,333_751_200302,"[14.46199, 49.96894]",U1501Z2,"Dolní Břežany,Na kopečku"
8:55:00,8:55:00,3.53721,U545Z2,4,333_751_200302,"[14.46853, 49.99163]",U545Z2,Písnice
8:56:00,8:56:00,3.9169,U546Z2,5,333_751_200302,"[14.46768, 49.99496]",U546Z2,Ke Březině
8:57:00,8:57:00,4.11683,U871Z2,6,333_751_200302,"[14.46765, 49.99676]",U871Z2,Lipovická
8:58:00,8:58:00,4.61837,U369Z2,7,333_751_200302,"[14.4666, 50.0012]",U369Z2,Sídliště Písnice
8:59:00,8:59:00,5.09108,U783Z2,8,333_751_200302,"[14.46417, 50.00515]",U783Z2,U Libušské sokolovny
9:00:00,9:00:00,5.46109,U335Z2,9,333_751_200302,"[14.46275, 50.00834]",U335Z2,Libuš
9:01:00,9:01:00,5.77175,U804Z2,10,333_751_200302,"[14.46015, 50.01056]",U804Z2,U Zvoničky
9:02:00,9:02:00,6.13062,U194Z2,11,333_751_200302,"[14.45772, 50.01337]",U194Z2,Jalodvorská
9:04:00,9:04:00,6.99949,U749Z2,12,333_751_200302,"[14.45197, 50.02019]",U749Z2,Tempo
9:05:00,9:05:00,7.33832,U656Z2,13,333_751_200302,"[14.45149, 50.02318]",U656Z2,Sídliště Krč
9:06:00,9:06:00,7.80231,U893Z4,14,333_751_200302,"[14.45143, 50.02735]",U893Z4,Zálesí
9:08:00,9:08:00,8.35517,U488Z7,15,333_751_200302,"[14.45515, 50.03038]",U488Z7,Nemocnice Krč
9:12:00,9:12:00,9.71831,U228Z5,16,333_751_200302,"[14.46033, 50.04203]",U228Z5,Kačerov
7:30:00,7:30:00,0.0,U1502Z2,1,333_651_200307,"[14.45889, 49.96373]",U1502Z2,"Dolní Břežany,Náměstí"
7:32:00,7:32:00,0.62157,U1501Z2,2,333_651_200307,"[14.46199, 49.96894]",U1501Z2,"Dolní Břežany,Na kopečku"
7:36:00,7:36:00,3.37885,U545Z2,3,333_651_200307,"[14.46853, 49.99163]",U545Z2,Písnice
7:37:00,7:37:00,3.75854,U546Z2,4,333_651_200307,"[14.46768, 49.99496]",U546Z2,Ke Březině
7:38:00,7:38:00,3.95848,U871Z2,5,333_651_200307,"[14.46765, 49.99676]",U871Z2,Lipovická
7:39:00,7:39:00,4.46002,U369Z2,6,333_651_200307,"[14.4666, 50.0012]",U369Z2,Sídliště Písnice
7:40:00,7:40:00,4.93273,U783Z2,7,333_651_200307,"[14.46417, 50.00515]",U783Z2,U Libušské sokolovny
7:41:00,7:41:00,5.30273,U335Z2,8,333_651_200307,"[14.46275, 50.00834]",U335Z2,Libuš
7:42:00,7:42:00,5.6134,U804Z2,9,333_651_200307,"[14.46015, 50.01056]",U804Z2,U Zvoničky
7:43:00,7:43:00,5.97226,U194Z2,10,333_651_200307,"[14.45772, 50.01337]",U194Z2,Jalodvorská
7:45:00,7:45:00,6.84113,U749Z2,11,333_651_200307,"[14.45197, 50.02019]",U749Z2,Tempo
7:46:00,7:46:00,7.17996,U656Z2,12,333_651_200307,"[14.45149, 50.02318]",U656Z2,Sídliště Krč
7:47:00,7:47:00,7.64396,U893Z4,13,333_651_200307,"[14.45143, 50.02735]",U893Z4,Zálesí
7:48:00,7:48:00,8.19682,U488Z7,14,333_651_200307,"[14.45515, 50.03038]",U488Z7,Nemocnice Krč
7:52:00,7:52:00,9.55995,U228Z5,15,333_651_200307,"[14.46033, 50.04203]",U228Z5,Kačerov
8:38:00,8:38:00,0.0,U1905Z2,1,333_1026_200307,"[14.42129, 49.92397]",U1905Z2,"Zvole,Nová Zvole"
8:39:00,8:39:00,0.78092,U1904Z2,2,333_1026_200307,"[14.4239, 49.93073]",U1904Z2,"Zvole,Jílovská"
8:42:00,8:42:00,1.12043,U1513Z2,3,333_1026_200307,"[14.42259, 49.93355]",U1513Z2,Zvole
8:43:00,8:43:00,1.87853,U6955Z2,4,333_1026_200307,"[14.42772, 49.93928]",U6955Z2,"Ohrobec,Zvolská"
8:44:00,8:44:00,2.35547,U1512Z2,5,333_1026_200307,"[14.43147, 49.9424]",U1512Z2,"Ohrobec,U Rybníka"
8:45:00,8:45:00,2.70553,U1507Z1,6,333_1026_200307,"[14.43122, 49.94374]",U1507Z1,Ohrobec
8:46:00,8:46:00,3.63546,U1508Z1,7,333_1026_200307,"[14.41994, 49.94742]",U1508Z1,"Ohrobec,Károv"
8:47:00,8:47:00,4.26147,U1509Z1,8,333_1026_200307,"[14.41138, 49.94843]",U1509Z1,"Dolní Břežany,Zálepy"
8:49:00,8:49:00,4.8918,U1508Z2,9,333_1026_200307,"[14.41998, 49.94736]",U1508Z2,"Ohrobec,Károv"
8:51:00,8:51:00,5.87219,U1507Z2,10,333_1026_200307,"[14.43195, 49.94371]",U1507Z2,Ohrobec
8:53:00,8:53:00,6.37037,U1506Z2,11,333_1026_200307,"[14.43407, 49.94786]",U1506Z2,"Ohrobec,U Čisteckých"
8:55:00,8:55:00,7.61174,U1504Z1,12,333_1026_200307,"[14.43284, 49.95618]",U1504Z1,"Dolní Břežany,Lhota"
8:59:00,8:59:00,9.63606,U1503Z2,13,333_1026_200307,"[14.45708, 49.96319]",U1503Z2,"Dolní Břežany,Obecní úřad"
9:00:00,9:00:00,9.79442,U1502Z2,14,333_1026_200307,"[14.45889, 49.96373]",U1502Z2,"Dolní Břežany,Náměstí"
9:02:00,9:02:00,10.41599,U1501Z2,15,333_1026_200307,"[14.46199, 49.96894]",U1501Z2,"Dolní Břežany,Na kopečku"
9:06:00,9:06:00,13.17327,U545Z2,16,333_1026_200307,"[14.46853, 49.99163]",U545Z2,Písnice
9:07:00,9:07:00,13.55296,U546Z2,17,333_1026_200307,"[14.46768, 49.99496]",U546Z2,Ke Březině
9:08:00,9:08:00,13.7529,U871Z2,18,333_1026_200307,"[14.46765, 49.99676]",U871Z2,Lipovická
9:09:00,9:09:00,14.25444,U369Z2,19,333_1026_200307,"[14.4666, 50.0012]",U369Z2,Sídliště Písnice
9:10:00,9:10:00,14.72715,U783Z2,20,333_1026_200307,"[14.46417, 50.00515]",U783Z2,U Libušské sokolovny
9:11:00,9:11:00,15.09715,U335Z2,21,333_1026_200307,"[14.46275, 50.00834]",U335Z2,Libuš
9:12:00,9:12:00,15.40782,U804Z2,22,333_1026_200307,"[14.46015, 50.01056]",U804Z2,U Zvoničky
9:13:00,9:13:00,15.76668,U194Z2,23,333_1026_200307,"[14.45772, 50.01337]",U194Z2,Jalodvorská
9:15:00,9:15:00,16.63555,U749Z2,24,333_1026_200307,"[14.45197, 50.02019]",U749Z2,Tempo
9:16:00,9:16:00,16.97438,U656Z2,25,333_1026_200307,"[14.45149, 50.02318]",U656Z2,Sídliště Krč
9:17:00,9:17:00,17.43838,U893Z4,26,333_1026_200307,"[14.45143, 50.02735]",U893Z4,Zálesí
9:19:00,9:19:00,17.99124,U488Z7,27,333_1026_200307,"[14.45515, 50.03038]",U488Z7,Nemocnice Krč
9:23:00,9:23:00,19.35437,U228Z5,28,333_1026_200307,"[14.46033, 50.04203]",U228Z5,Kačerov
8:30:00,8:30:00,0.0,U1502Z2,1,333_653_200307,"[14.45889, 49.96373]",U1502Z2,"Dolní Břežany,Náměstí"
8:32:00,8:32:00,0.62157,U1501Z2,2,333_653_200307,"[14.46199, 49.96894]",U1501Z2,"Dolní Břežany,Na kopečku"
8:36:00,8:36:00,3.37885,U545Z2,3,333_653_200307,"[14.46853, 49.99163]",U545Z2,Písnice
8:37:00,8:37:00,3.75854,U546Z2,4,333_653_200307,"[14.46768, 49.99496]",U546Z2,Ke Březině
8:38:00,8:38:00,3.95848,U871Z2,5,333_653_200307,"[14.46765, 49.99676]",U871Z2,Lipovická
8:39:00,8:39:00,4.46002,U369Z2,6,333_653_200307,"[14.4666, 50.0012]",U369Z2,Sídliště Písnice
8:40:00,8:40:00,4.93273,U783Z2,7,333_653_200307,"[14.46417, 50.00515]",U783Z2,U Libušské sokolovny
8:41:00,8:41:00,5.30273,U335Z2,8,333_653_200307,"[14.46275, 50.00834]",U335Z2,Libuš
8:42:00,8:42:00,5.6134,U804Z2,9,333_653_200307,"[14.46015, 50.01056]",U804Z2,U Zvoničky
8:43:00,8:43:00,5.97226,U194Z2,10,333_653_200307,"[14.45772, 50.01337]",U194Z2,Jalodvorská
8:45:00,8:45:00,6.84113,U749Z2,11,333_653_200307,"[14.45197, 50.02019]",U749Z2,Tempo
8:46:00,8:46:00,7.17996,U656Z2,12,333_653_200307,"[14.45149, 50.02318]",U656Z2,Sídliště Krč
8:47:00,8:47:00,7.64396,U893Z4,13,333_653_200307,"[14.45143, 50.02735]",U893Z4,Zálesí
8:49:00,8:49:00,8.19682,U488Z7,14,333_653_200307,"[14.45515, 50.03038]",U488Z7,Nemocnice Krč
8:53:00,8:53:00,9.55995,U228Z5,15,333_653_200307,"[14.46033, 50.04203]",U228Z5,Kačerov
5:32:00,5:32:00,0.0,U1517Z2,1,333_1010_200307,"[14.41051, 49.902]",U1517Z2,"Březová-Oleško,Oleško"
5:33:00,5:33:00,0.75929,U1516Z2,2,333_1010_200307,"[14.41319, 49.90846]",U1516Z2,"Březová-Oleško,U Topolů"
5:34:00,5:34:00,1.16044,U9551Z2,3,333_1010_200307,"[14.41437, 49.91185]",U9551Z2,"Březová-Oleško,Školka"
5:35:00,5:35:00,1.63421,U1515Z2,4,333_1010_200307,"[14.41559, 49.91507]",U1515Z2,"Březová-Oleško,Březová"
5:37:00,5:37:00,2.58248,U1514Z2,5,333_1010_200307,"[14.41984, 49.92087]",U1514Z2,"Zvole,Černíky"
5:38:00,5:38:00,2.9558,U1905Z2,6,333_1010_200307,"[14.42129, 49.92397]",U1905Z2,"Zvole,Nová Zvole"
5:39:00,5:39:00,3.73672,U1904Z2,7,333_1010_200307,"[14.4239, 49.93073]",U1904Z2,"Zvole,Jílovská"
5:42:00,5:42:00,4.07623,U1513Z2,8,333_1010_200307,"[14.42259, 49.93355]",U1513Z2,Zvole
5:43:00,5:43:00,4.83433,U6955Z2,9,333_1010_200307,"[14.42772, 49.93928]",U6955Z2,"Ohrobec,Zvolská"
5:44:00,5:44:00,5.31127,U1512Z2,10,333_1010_200307,"[14.43147, 49.9424]",U1512Z2,"Ohrobec,U Rybníka"
5:45:00,5:45:00,5.66132,U1507Z1,11,333_1010_200307,"[14.43122, 49.94374]",U1507Z1,Ohrobec
5:46:00,5:46:00,6.59126,U1508Z1,12,333_1010_200307,"[14.41994, 49.94742]",U1508Z1,"Ohrobec,Károv"
5:47:00,5:47:00,7.21727,U1509Z1,13,333_1010_200307,"[14.41138, 49.94843]",U1509Z1,"Dolní Břežany,Zálepy"
5:49:00,5:49:00,7.84759,U1508Z2,14,333_1010_200307,"[14.41998, 49.94736]",U1508Z2,"Ohrobec,Károv"
5:51:00,5:51:00,8.82799,U1507Z2,15,333_1010_200307,"[14.43195, 49.94371]",U1507Z2,Ohrobec
5:53:00,5:53:00,9.32617,U1506Z2,16,333_1010_200307,"[14.43407, 49.94786]",U1506Z2,"Ohrobec,U Čisteckých"
5:55:00,5:55:00,10.56754,U1504Z1,17,333_1010_200307,"[14.43284, 49.95618]",U1504Z1,"Dolní Břežany,Lhota"
5:59:00,5:59:00,12.59186,U1503Z2,18,333_1010_200307,"[14.45708, 49.96319]",U1503Z2,"Dolní Břežany,Obecní úřad"
6:00:00,6:00:00,12.75022,U1502Z2,19,333_1010_200307,"[14.45889, 49.96373]",U1502Z2,"Dolní Břežany,Náměstí"
6:02:00,6:02:00,13.37178,U1501Z2,20,333_1010_200307,"[14.46199, 49.96894]",U1501Z2,"Dolní Břežany,Na kopečku"
6:06:00,6:06:00,16.12907,U545Z2,21,333_1010_200307,"[14.46853, 49.99163]",U545Z2,Písnice
6:07:00,6:07:00,16.50876,U546Z2,22,333_1010_200307,"[14.46768, 49.99496]",U546Z2,Ke Březině
6:08:00,6:08:00,16.70869,U871Z2,23,333_1010_200307,"[14.46765, 49.99676]",U871Z2,Lipovická
6:09:00,6:09:00,17.21023,U369Z2,24,333_1010_200307,"[14.4666, 50.0012]",U369Z2,Sídliště Písnice
6:10:00,6:10:00,17.68294,U783Z2,25,333_1010_200307,"[14.46417, 50.00515]",U783Z2,U Libušské sokolovny
6:11:00,6:11:00,18.05295,U335Z2,26,333_1010_200307,"[14.46275, 50.00834]",U335Z2,Libuš
6:12:00,6:12:00,18.36361,U804Z2,27,333_1010_200307,"[14.46015, 50.01056]",U804Z2,U Zvoničky
6:13:00,6:13:00,18.72248,U194Z2,28,333_1010_200307,"[14.45772, 50.01337]",U194Z2,Jalodvorská
6:15:00,6:15:00,19.59135,U749Z2,29,333_1010_200307,"[14.45197, 50.02019]",U749Z2,Tempo
6:16:00,6:16:00,19.93018,U656Z2,30,333_1010_200307,"[14.45149, 50.02318]",U656Z2,Sídliště Krč
6:17:00,6:17:00,20.39417,U893Z4,31,333_1010_200307,"[14.45143, 50.02735]",U893Z4,Zálesí
6:18:00,6:18:00,20.94703,U488Z7,32,333_1010_200307,"[14.45515, 50.03038]",U488Z7,Nemocnice Krč
6:22:00,6:22:00,22.31017,U228Z5,33,333_1010_200307,"[14.46033, 50.04203]",U228Z5,Kačerov
10:39:00,10:39:00,0.0,U1517Z2,1,333_1037_200307,"[14.41051, 49.902]",U1517Z2,"Březová-Oleško,Oleško"
10:40:00,10:40:00,0.75929,U1516Z2,2,333_1037_200307,"[14.41319, 49.90846]",U1516Z2,"Březová-Oleško,U Topolů"
10:41:00,10:41:00,1.16044,U9551Z2,3,333_1037_200307,"[14.41437, 49.91185]",U9551Z2,"Březová-Oleško,Školka"
10:42:00,10:42:00,1.63421,U1515Z2,4,333_1037_200307,"[14.41559, 49.91507]",U1515Z2,"Březová-Oleško,Březová"
10:44:00,10:44:00,2.58248,U1514Z2,5,333_1037_200307,"[14.41984, 49.92087]",U1514Z2,"Zvole,Černíky"
10:45:00,10:45:00,2.9558,U1905Z2,6,333_1037_200307,"[14.42129, 49.92397]",U1905Z2,"Zvole,Nová Zvole"
10:46:00,10:46:00,3.73672,U1904Z2,7,333_1037_200307,"[14.4239, 49.93073]",U1904Z2,"Zvole,Jílovská"
10:49:00,10:49:00,4.07623,U1513Z2,8,333_1037_200307,"[14.42259, 49.93355]",U1513Z2,Zvole
10:50:00,10:50:00,4.83433,U6955Z2,9,333_1037_200307,"[14.42772, 49.93928]",U6955Z2,"Ohrobec,Zvolská"
10:51:00,10:51:00,5.31127,U1512Z2,10,333_1037_200307,"[14.43147, 49.9424]",U1512Z2,"Ohrobec,U Rybníka"
10:53:00,10:53:00,5.9638,U1506Z2,11,333_1037_200307,"[14.43407, 49.94786]",U1506Z2,"Ohrobec,U Čisteckých"
10:55:00,10:55:00,7.20516,U1504Z1,12,333_1037_200307,"[14.43284, 49.95618]",U1504Z1,"Dolní Břežany,Lhota"
10:59:00,10:59:00,9.22949,U1503Z2,13,333_1037_200307,"[14.45708, 49.96319]",U1503Z2,"Dolní Břežany,Obecní úřad"
11:00:00,11:00:00,9.38784,U1502Z2,14,333_1037_200307,"[14.45889, 49.96373]",U1502Z2,"Dolní Břežany,Náměstí"
11:02:00,11:02:00,10.00941,U1501Z2,15,333_1037_200307,"[14.46199, 49.96894]",U1501Z2,"Dolní Břežany,Na kopečku"
11:06:00,11:06:00,12.76669,U545Z2,16,333_1037_200307,"[14.46853, 49.99163]",U545Z2,Písnice
11:07:00,11:07:00,13.14639,U546Z2,17,333_1037_200307,"[14.46768, 49.99496]",U546Z2,Ke Březině
11:08:00,11:08:00,13.34632,U871Z2,18,333_1037_200307,"[14.46765, 49.99676]",U871Z2,Lipovická
11:09:00,11:09:00,13.84786,U369Z2,19,333_1037_200307,"[14.4666, 50.0012]",U369Z2,Sídliště Písnice
11:10:00,11:10:00,14.32057,U783Z2,20,333_1037_200307,"[14.46417, 50.00515]",U783Z2,U Libušské sokolovny
11:11:00,11:11:00,14.69057,U335Z2,21,333_1037_200307,"[14.46275, 50.00834]",U335Z2,Libuš
11:12:00,11:12:00,15.00124,U804Z2,22,333_1037_200307,"[14.46015, 50.01056]",U804Z2,U Zvoničky
11:13:00,11:13:00,15.3601,U194Z2,23,333_1037_200307,"[14.45772, 50.01337]",U194Z2,Jalodvorská
11:15:00,11:15:00,16.22898,U749Z2,24,333_1037_200307,"[14.45197, 50.02019]",U749Z2,Tempo
11:16:00,11:16:00,16.56781,U656Z2,25,333_1037_200307,"[14.45149, 50.02318]",U656Z2,Sídliště Krč
11:17:00,11:17:00,17.0318,U893Z4,26,333_1037_200307,"[14.45143, 50.02735]",U893Z4,Zálesí
11:19:00,11:19:00,17.58466,U488Z7,27,333_1037_200307,"[14.45515, 50.03038]",U488Z7,Nemocnice Krč
11:23:00,11:23:00,18.94779,U228Z5,28,333_1037_200307,"[14.46033, 50.04203]",U228Z5,Kačerov
10:43:00,10:43:00,5.97226,U194Z2,10,333_636_200307,"[14.45772, 50.01337]",U194Z2,Jalodvorská
10:45:00,10:45:00,6.84113,U749Z2,11,333_636_200307,"[14.45197, 50.02019]",U749Z2,Tempo
10:30:00,10:30:00,0.0,U1502Z2,1,333_636_200307,"[14.45889, 49.96373]",U1502Z2,"Dolní Břežany,Náměstí"
10:32:00,10:32:00,0.62157,U1501Z2,2,333_636_200307,"[14.46199, 49.96894]",U1501Z2,"Dolní Břežany,Na kopečku"
10:46:00,10:46:00,7.17996,U656Z2,12,333_636_200307,"[14.45149, 50.02318]",U656Z2,Sídliště Krč
10:36:00,10:36:00,3.37885,U545Z2,3,333_636_200307,"[14.46853, 49.99163]",U545Z2,Písnice
10:37:00,10:37:00,3.75854,U546Z2,4,333_636_200307,"[14.46768, 49.99496]",U546Z2,Ke Březině
10:47:00,10:47:00,7.64396,U893Z4,13,333_636_200307,"[14.45143, 50.02735]",U893Z4,Zálesí
10:38:00,10:38:00,3.95848,U871Z2,5,333_636_200307,"[14.46765, 49.99676]",U871Z2,Lipovická
10:49:00,10:49:00,8.19682,U488Z7,14,333_636_200307,"[14.45515, 50.03038]",U488Z7,Nemocnice Krč
10:39:00,10:39:00,4.46002,U369Z2,6,333_636_200307,"[14.4666, 50.0012]",U369Z2,Sídliště Písnice
10:53:00,10:53:00,9.55995,U228Z5,15,333_636_200307,"[14.46033, 50.04203]",U228Z5,Kačerov
10:40:00,10:40:00,4.93273,U783Z2,7,333_636_200307,"[14.46417, 50.00515]",U783Z2,U Libušské sokolovny
10:41:00,10:41:00,5.30273,U335Z2,8,333_636_200307,"[14.46275, 50.00834]",U335Z2,Libuš
10:42:00,10:42:00,5.6134,U804Z2,9,333_636_200307,"[14.46015, 50.01056]",U804Z2,U Zvoničky
9:49:00,9:49:00,0.0,U1513Z2,1,333_1047_200307,"[14.42259, 49.93355]",U1513Z2,Zvole
9:50:00,9:50:00,0.7581,U6955Z2,2,333_1047_200307,"[14.42772, 49.93928]",U6955Z2,"Ohrobec,Zvolská"
9:51:00,9:51:00,1.23504,U1512Z2,3,333_1047_200307,"[14.43147, 49.9424]",U1512Z2,"Ohrobec,U Rybníka"
9:53:00,9:53:00,1.88757,U1506Z2,4,333_1047_200307,"[14.43407, 49.94786]",U1506Z2,"Ohrobec,U Čisteckých"
9:55:00,9:55:00,3.12893,U1504Z1,5,333_1047_200307,"[14.43284, 49.95618]",U1504Z1,"Dolní Břežany,Lhota"
9:59:00,9:59:00,5.15325,U1503Z2,6,333_1047_200307,"[14.45708, 49.96319]",U1503Z2,"Dolní Břežany,Obecní úřad"
10:00:00,10:00:00,5.31161,U1502Z2,7,333_1047_200307,"[14.45889, 49.96373]",U1502Z2,"Dolní Břežany,Náměstí"
10:02:00,10:02:00,5.93318,U1501Z2,8,333_1047_200307,"[14.46199, 49.96894]",U1501Z2,"Dolní Břežany,Na kopečku"
10:06:00,10:06:00,8.69046,U545Z2,9,333_1047_200307,"[14.46853, 49.99163]",U545Z2,Písnice
10:07:00,10:07:00,9.07015,U546Z2,10,333_1047_200307,"[14.46768, 49.99496]",U546Z2,Ke Březině
10:08:00,10:08:00,9.27009,U871Z2,11,333_1047_200307,"[14.46765, 49.99676]",U871Z2,Lipovická
10:09:00,10:09:00,9.77163,U369Z2,12,333_1047_200307,"[14.4666, 50.0012]",U369Z2,Sídliště Písnice
10:10:00,10:10:00,10.24434,U783Z2,13,333_1047_200307,"[14.46417, 50.00515]",U783Z2,U Libušské sokolovny
10:11:00,10:11:00,10.61434,U335Z2,14,333_1047_200307,"[14.46275, 50.00834]",U335Z2,Libuš
10:12:00,10:12:00,10.92501,U804Z2,15,333_1047_200307,"[14.46015, 50.01056]",U804Z2,U Zvoničky
10:13:00,10:13:00,11.28387,U194Z2,16,333_1047_200307,"[14.45772, 50.01337]",U194Z2,Jalodvorská
10:15:00,10:15:00,12.15274,U749Z2,17,333_1047_200307,"[14.45197, 50.02019]",U749Z2,Tempo
10:16:00,10:16:00,12.49158,U656Z2,18,333_1047_200307,"[14.45149, 50.02318]",U656Z2,Sídliště Krč
10:17:00,10:17:00,12.95557,U893Z4,19,333_1047_200307,"[14.45143, 50.02735]",U893Z4,Zálesí
10:19:00,10:19:00,13.50843,U488Z7,20,333_1047_200307,"[14.45515, 50.03038]",U488Z7,Nemocnice Krč
10:23:00,10:23:00,14.87156,U228Z5,21,333_1047_200307,"[14.46033, 50.04203]",U228Z5,Kačerov
9:30:00,9:30:00,0.0,U1502Z2,1,333_655_200307,"[14.45889, 49.96373]",U1502Z2,"Dolní Břežany,Náměstí"
9:32:00,9:32:00,0.62157,U1501Z2,2,333_655_200307,"[14.46199, 49.96894]",U1501Z2,"Dolní Břežany,Na kopečku"
9:36:00,9:36:00,3.37885,U545Z2,3,333_655_200307,"[14.46853, 49.99163]",U545Z2,Písnice
9:37:00,9:37:00,3.75854,U546Z2,4,333_655_200307,"[14.46768, 49.99496]",U546Z2,Ke Březině
9:38:00,9:38:00,3.95848,U871Z2,5,333_655_200307,"[14.46765, 49.99676]",U871Z2,Lipovická
9:39:00,9:39:00,4.46002,U369Z2,6,333_655_200307,"[14.4666, 50.0012]",U369Z2,Sídliště Písnice
9:40:00,9:40:00,4.93273,U783Z2,7,333_655_200307,"[14.46417, 50.00515]",U783Z2,U Libušské sokolovny
9:41:00,9:41:00,5.30273,U335Z2,8,333_655_200307,"[14.46275, 50.00834]",U335Z2,Libuš
9:42:00,9:42:00,5.6134,U804Z2,9,333_655_200307,"[14.46015, 50.01056]",U804Z2,U Zvoničky
9:43:00,9:43:00,5.97226,U194Z2,10,333_655_200307,"[14.45772, 50.01337]",U194Z2,Jalodvorská
9:45:00,9:45:00,6.84113,U749Z2,11,333_655_200307,"[14.45197, 50.02019]",U749Z2,Tempo
9:46:00,9:46:00,7.17996,U656Z2,12,333_655_200307,"[14.45149, 50.02318]",U656Z2,Sídliště Krč
9:47:00,9:47:00,7.64396,U893Z4,13,333_655_200307,"[14.45143, 50.02735]",U893Z4,Zálesí
9:49:00,9:49:00,8.19682,U488Z7,14,333_655_200307,"[14.45515, 50.03038]",U488Z7,Nemocnice Krč
9:53:00,9:53:00,9.55995,U228Z5,15,333_655_200307,"[14.46033, 50.04203]",U228Z5,Kačerov
6:49:00,6:49:00,0.0,U1513Z2,1,333_1024_200307,"[14.42259, 49.93355]",U1513Z2,Zvole
6:50:00,6:50:00,0.7581,U6955Z2,2,333_1024_200307,"[14.42772, 49.93928]",U6955Z2,"Ohrobec,Zvolská"
6:51:00,6:51:00,1.23504,U1512Z2,3,333_1024_200307,"[14.43147, 49.9424]",U1512Z2,"Ohrobec,U Rybníka"
6:53:00,6:53:00,1.88757,U1506Z2,4,333_1024_200307,"[14.43407, 49.94786]",U1506Z2,"Ohrobec,U Čisteckých"
6:55:00,6:55:00,3.12893,U1504Z1,5,333_1024_200307,"[14.43284, 49.95618]",U1504Z1,"Dolní Břežany,Lhota"
6:59:00,6:59:00,5.15325,U1503Z2,6,333_1024_200307,"[14.45708, 49.96319]",U1503Z2,"Dolní Břežany,Obecní úřad"
7:00:00,7:00:00,5.31161,U1502Z2,7,333_1024_200307,"[14.45889, 49.96373]",U1502Z2,"Dolní Břežany,Náměstí"
7:02:00,7:02:00,5.93318,U1501Z2,8,333_1024_200307,"[14.46199, 49.96894]",U1501Z2,"Dolní Břežany,Na kopečku"
7:06:00,7:06:00,8.69046,U545Z2,9,333_1024_200307,"[14.46853, 49.99163]",U545Z2,Písnice
7:07:00,7:07:00,9.07015,U546Z2,10,333_1024_200307,"[14.46768, 49.99496]",U546Z2,Ke Březině
7:08:00,7:08:00,9.27009,U871Z2,11,333_1024_200307,"[14.46765, 49.99676]",U871Z2,Lipovická
7:09:00,7:09:00,9.77163,U369Z2,12,333_1024_200307,"[14.4666, 50.0012]",U369Z2,Sídliště Písnice
7:10:00,7:10:00,10.24434,U783Z2,13,333_1024_200307,"[14.46417, 50.00515]",U783Z2,U Libušské sokolovny
7:11:00,7:11:00,10.61434,U335Z2,14,333_1024_200307,"[14.46275, 50.00834]",U335Z2,Libuš
7:12:00,7:12:00,10.92501,U804Z2,15,333_1024_200307,"[14.46015, 50.01056]",U804Z2,U Zvoničky
7:13:00,7:13:00,11.28387,U194Z2,16,333_1024_200307,"[14.45772, 50.01337]",U194Z2,Jalodvorská
7:15:00,7:15:00,12.15274,U749Z2,17,333_1024_200307,"[14.45197, 50.02019]",U749Z2,Tempo
7:16:00,7:16:00,12.49158,U656Z2,18,333_1024_200307,"[14.45149, 50.02318]",U656Z2,Sídliště Krč
7:17:00,7:17:00,12.95557,U893Z4,19,333_1024_200307,"[14.45143, 50.02735]",U893Z4,Zálesí
7:18:00,7:18:00,13.50843,U488Z7,20,333_1024_200307,"[14.45515, 50.03038]",U488Z7,Nemocnice Krč
7:22:00,7:22:00,14.87156,U228Z5,21,333_1024_200307,"[14.46033, 50.04203]",U228Z5,Kačerov
6:30:00,6:30:00,0.0,U1502Z2,1,333_673_200307,"[14.45889, 49.96373]",U1502Z2,"Dolní Břežany,Náměstí"
6:32:00,6:32:00,0.62157,U1501Z2,2,333_673_200307,"[14.46199, 49.96894]",U1501Z2,"Dolní Břežany,Na kopečku"
6:36:00,6:36:00,3.37885,U545Z2,3,333_673_200307,"[14.46853, 49.99163]",U545Z2,Písnice
6:37:00,6:37:00,3.75854,U546Z2,4,333_673_200307,"[14.46768, 49.99496]",U546Z2,Ke Březině
6:38:00,6:38:00,3.95848,U871Z2,5,333_673_200307,"[14.46765, 49.99676]",U871Z2,Lipovická
6:39:00,6:39:00,4.46002,U369Z2,6,333_673_200307,"[14.4666, 50.0012]",U369Z2,Sídliště Písnice
6:40:00,6:40:00,4.93273,U783Z2,7,333_673_200307,"[14.46417, 50.00515]",U783Z2,U Libušské sokolovny
